NAME                                     READY   STATUS        RESTARTS      AGE   IP           NODE          NOMINATED NODE   READINESS GATES
mysql-0                                  1/1     Terminating   0             41d   10.42.2.11   brandnew      <none>           <none>
mysql-8466d64b-9xgwz                     1/1     Running       2    41d   10.42.0.2    kubernaties   <none>           <none>
kli-8dd6bf898-bvchf                      1/1     Running       3    86d   10.42.0.12   kubernaties   <none>           <none>
pres4-5b6968878f-gl5fg                   1/1     Running       3    86d   10.42.0.11   kubernaties   <none>           <none>
presi4-99768c8d6-r6gtf                   1/1     Running       3    86d   10.42.0.13   kubernaties   <none>           <none>
second-app-deployment-7b4646d8bc-ldgxt   1/1     Running       4    63d   10.42.0.26   kubernaties   <none>           <none>
website-6884878d99-5sbvv                 1/1     Running       2    69d   10.42.0.18   kubernaties   <none>           <none>
presv4ubu-5d59f8b894-62gz6               1/1     Running       2    84d   10.42.0.17   kubernaties   <none>           <none>
ubu-9569fbd66-ksvwg                      1/1     Running       2    84d   10.42.0.15   kubernaties   <none>           <none>
kalidesk-6c8445cd9b-mtjt9                1/1     Running       5    96d   10.42.0.14   kubernaties   <none>           <none>
newv5-d74566f9-2j7fm                     1/1     Running       2    84d   10.42.0.27   kubernaties   <none>           <none>
firstone-ffd68f757-rr268                 1/1     Running       2    84d   10.42.0.19   kubernaties   <none>           <none>
archttyd-7c5b9c5d6c-kqx6c                1/1     Running       2    84d   10.42.0.21   kubernaties   <none>           <none>
story-deployment-5767946bd9-r5x8q        1/1     Running       2    56d   10.42.0.25   kubernaties   <none>           <none>
wordpress-b449f7444-4r9vr                1/1     Running       2    50d   10.42.0.29   kubernaties   <none>           <none>
wordpress1-bb675868b-2bhxs               1/1     Running       2    50d   10.42.0.31   kubernaties   <none>           <none>
wordpress-mariadb                        2/2     Running       4    55d   10.42.0.28   kubernaties   <none>           <none>
n1-79646654b8-6rvzr                      1/1     Running       3    86d   10.42.0.24   kubernaties   <none>           <none>
pres4i-59655749bd-czgnn                  1/1     Running       2    84d   10.42.0.16   kubernaties   <none>           <none>
newpre-69878886dd-6248d                  1/1     Running       3    86d   10.42.0.20   kubernaties   <none>           <none>
